City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,san angelo,31.4638,-100.437,29.12,49,40,6.17,US,1696294432
83,gagarin,55.5529,34.9954,6.35,86,25,2.31,RU,1696294433
84,balqash,46.8481,74.995,11.83,71,6,4.44,KZ,1696294433
85,nar'yan-mar,67.6713,53.087,3.95,78,77,9.39,RU,1696294433
86,brindisi,40.5833,17.6667,21.54,75,0,6.33,IT,1696294434
87,mahenge,-8.6833,36.7167,15.32,72,41,1.11,TZ,1696294434
88,tiksi,71.6872,128.8694,-2.32,80,95,7.75,RU,1696294434
89,ketchikan,55.3422,-131.6461,12.26,94,100,5.14,US,1696294435
90,kolonia town,6.964,158.206,34.0,59,75,2.06,FM,1696294435
91,kasongo-lunda,-6.4667,16.8167,21.3,97,100,0.56,CD,1696294435
92,castillos,-34.1667,-53.8333,10.42,94,36,2.5,UY,1696294436
93,edinburgh of the seven seas,-37.0676,-12.3116,10.03,58,75,10.0,SH,1696294436
94,dudinka,69.4058,86.1778,0.9,96,100,10.28,RU,1696294437
95,coquimbo,-29.9533,-71.3436,13.85,82,0,3.6,CL,1696294396
96,tazovsky,67.4667,78.7,7.45,94,99,6.87,RU,1696294437
97,dadhar,29.4753,67.6514,26.73,10,0,2.8,PK,1696294438
98,axim,4.8699,-2.2405,25.12,89,94,3.87,GH,1696294438
99,saint-philippe,-21.3585,55.7679,21.77,82,14,1.56,RE,1696294439
100,shakawe,-18.3667,21.85,24.35,35,23,3.13,BW,1696294439
101,imbituba,-28.24,-48.6703,13.58,80,0,2.5,BR,1696294439
102,tolanaro,-25.0319,46.9987,20.04,60,75,5.14,MG,1696294440
103,hithadhoo,-0.6,73.0833,27.7,74,100,5.62,MV,1696294440
104,xishan,27.6667,113.5,20.9,87,100,2.76,CN,1696294440
105,plastun,44.7561,136.2939,13.38,66,0,2.24,RU,1696294441
106,enewetak,11.3474,162.3373,28.49,78,100,5.07,MH,1696294441
107,ceres,37.5949,-120.9577,27.09,33,0,4.63,US,1696294264
108,avarua,-21.2078,-159.775,23.03,64,75,4.63,CK,1696294442
109,kibungo,-2.1597,30.5427,15.51,81,47,0.71,RW,1696294442
110,luderitz,-26.6481,15.1594,16.63,71,0,3.26,NA,1696294442
111,freetown,8.484,-13.2299,25.39,87,100,2.67,SL,1696294430
112,margaret river,-33.95,115.0667,13.93,65,100,4.93,AU,1696294443
113,levuka,50.1834,-105.4011,14.9,53,100,1.49,CA,1696294443
114,haapavesi,64.1333,25.3667,6.96,95,100,0.45,FI,1696294444
115,oranjemund,-28.55,16.4333,15.18,83,0,1.18,NA,1696294444
116,mtwara,-10.2667,40.1833,22.63,90,100,3.97,TZ,1696294444
117,lompoc,34.6391,-120.4579,22.79,76,40,6.17,US,1696294312
118,east london,-33.0153,27.9116,19.49,49,0,3.42,ZA,1696294445
119,valparaiso,-33.0393,-71.6273,13.8,54,40,2.57,CL,1696294446
120,puerto baquerizo moreno,-0.9,-89.6,22.7,91,59,4.55,EC,1696294446
121,bubaque,11.2833,-15.8333,28.05,81,99,2.78,GW,1696294446
122,marsh harbour,26.5412,-77.0636,27.19,70,0,8.52,BS,1696294447
123,port lincoln,-34.7333,135.8667,14.94,58,75,8.51,AU,1696294439
124,bay roberts,47.5999,-53.2648,9.86,97,29,1.06,CA,1696294447
125,nuuk,64.1835,-51.7216,5.34,65,100,0.51,GL,1696294448
126,palmer,42.1584,-72.3287,16.19,81,20,0.0,US,1696294448
127,myanaung,18.2833,95.3167,24.39,96,100,2.44,MM,1696294449
128,chegdomyn,51.1167,133.0167,5.18,89,100,0.89,RU,1696294449
129,pemangkat,1.1667,108.9667,27.44,75,100,2.33,ID,1696294449
130,veraval,20.9,70.3667,25.48,73,40,2.19,IN,1696294450
131,mastic beach,40.7668,-72.8521,19.11,89,0,0.0,US,1696294450
132,port moresby,-9.4431,147.1797,28.68,74,75,5.14,PG,1696294451
133,muisne,0.6,-80.0333,24.47,81,93,5.57,EC,1696294451
134,barakani,-12.1356,44.4317,25.31,80,67,4.2,KM,1696294452
135,isafjordur,66.0755,-23.124,1.29,94,100,7.41,IS,1696294452
136,arteche,12.2645,125.4048,30.34,66,100,3.49,PH,1696294452
137,uruzgan,32.8333,66.0,12.62,16,0,2.5,AF,1696294453
138,weno,7.4515,151.8468,30.97,79,75,1.54,FM,1696294453
139,remire-montjoly,4.9167,-52.2667,27.02,83,0,2.57,GF,1696294453
140,lebyazh'ye,55.2689,66.4947,9.54,66,100,4.86,RU,1696294454
141,wailua homesteads,22.0669,-159.378,28.4,75,0,4.63,US,1696294454
142,hafar al-batin,28.4328,45.9708,28.32,23,0,2.06,SA,1696294455
143,vadso,70.0744,29.7487,0.49,100,40,2.57,NO,1696294455
144,mbandaka,0.0487,18.2603,22.51,97,100,0.66,CD,1696294455
145,tumayr,25.7039,45.868,26.95,18,0,3.67,SA,1696294456
146,smithers,54.7804,-127.1743,11.18,82,75,2.57,CA,1696294456
147,kourou,5.1552,-52.6478,27.03,81,43,4.78,GF,1696294456
148,anadyr,64.75,177.4833,4.28,64,0,7.0,RU,1696294457
149,nova sintra,14.8667,-24.7167,23.34,82,20,5.32,CV,1696294458
150,noshiro,40.2039,140.0242,18.46,49,26,8.28,JP,1696294459
151,sabang,5.8933,95.3214,27.68,77,100,8.74,ID,1696294459
152,byron bay,-28.65,153.6167,27.06,51,0,6.93,AU,1696294182
153,west island,-12.1568,96.8225,24.99,69,100,6.69,CC,1696294460
154,orchard homes,46.8633,-114.0484,14.08,67,100,1.54,US,1696294460
155,sterling,39.0062,-77.4286,22.72,78,75,0.0,US,1696294222
156,papatowai,-46.5619,169.4708,12.6,42,5,2.74,NZ,1696294461
157,pratt,37.6439,-98.7376,28.34,39,0,5.14,US,1696294330
158,college,64.8569,-147.8028,4.69,73,75,4.12,US,1696294463
159,bikenibeu village,1.3673,173.1241,31.98,70,40,2.57,KI,1696294464
160,padang,-0.9492,100.3543,25.03,77,56,0.44,ID,1696294464
161,igarka,67.4667,86.5833,1.67,100,100,9.24,RU,1696294464
162,talnakh,69.4865,88.3972,0.67,96,100,7.51,RU,1696294465
163,khamharia,20.9833,82.2667,23.36,96,57,2.13,IN,1696294465
164,posto fiscal rolim de moura,-13.0833,-62.2667,30.2,42,75,1.46,BR,1696294465
165,tralee,52.2704,-9.7026,11.19,89,100,4.56,IE,1696294466
166,inarajan village,13.2736,144.7484,29.88,91,95,6.32,GU,1696294466
167,iskateley,67.6803,53.1512,3.9,78,76,9.39,RU,1696294466
168,kabinda,-6.1333,24.4833,22.09,71,9,1.11,CD,1696294467
169,camana,-16.6228,-72.7111,17.88,88,36,2.96,PE,1696294467
170,"laikit, laikit ii (dimembe)",1.4792,124.9735,30.47,55,20,2.57,ID,1696294467
171,hailin,44.5833,129.4167,13.33,60,20,2.04,CN,1696294468
172,al jawf,29.5,38.75,23.25,43,100,2.05,SA,1696294468
173,settat,33.0007,-7.6204,13.9,37,42,0.66,MA,1696294468
174,semenov,56.7875,44.493,10.3,83,100,1.67,RU,1696294469
